Level,Date and Time,Source,Event ID,Task Category
Information,1/31/2024 4:30:06 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Warning,1/31/2024 4:30:04 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name www.msftconnecttest.com timed out after none of the configured DNS servers responded. Client PID 1972.
Information,1/31/2024 4:29:56 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:29:55 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:29:54 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:29:53 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Warning,1/31/2024 4:29:27 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name ntp.msn.com timed out after none of the configured DNS servers responded. Client PID 17508.
Warning,1/31/2024 4:28:58 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name bzib.nelreports.net timed out after none of the configured DNS servers responded. Client PID 17508.
Warning,1/31/2024 4:28:37 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name bzib.nelreports.net timed out after none of the configured DNS servers responded. Client PID 17508.
Information,1/31/2024 4:28:07 PM,Microsoft-Windows-IsolatedUserMode,5,None,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Information,1/31/2024 4:28:07 PM,Microsoft-Windows-IsolatedUserMode,2,None,Secure Trustlet Id 0 and Pid 0 stopped with status STATUS_SUCCESS.
Information,1/31/2024 4:28:02 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:27:59 PM,Netwtw10,7023,None,7023 - secure boot debug logging Quasar
Information,1/31/2024 4:27:59 PM,Netwtw10,7011,None,7011 - radio ON
Information,1/31/2024 4:27:58 PM,Netwtw10,7012,None,7012 - radio OFF
Warning,1/31/2024 4:27:20 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name nleditor.osi.office.net timed out after none of the configured DNS servers responded. Client PID 16208.
Warning,1/31/2024 4:26:04 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name chrome.cloudflare-dns.com timed out after none of the configured DNS servers responded. Client PID 13132.
Warning,1/31/2024 4:25:22 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name chrome.cloudflare-dns.com timed out after none of the configured DNS servers responded. Client PID 13720.
Warning,1/31/2024 4:24:46 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name edge.microsoft.com timed out after none of the configured DNS servers responded. Client PID 16208.
Warning,1/31/2024 4:24:03 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name edgeservices.bing.com timed out after none of the configured DNS servers responded. Client PID 16208.
Information,1/31/2024 4:23:13 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:23:04 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:23:00 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:22:59 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:22:59 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:22:59 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:22:54 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:22:53 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:22:53 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:22:53 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:22:16 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:22:16 PM,Microsoft-Windows-IsolatedUserMode,2,None,Secure Trustlet Id 0 and Pid 0 stopped with status STATUS_SUCCESS.
Information,1/31/2024 4:22:13 PM,Microsoft-Windows-IsolatedUserMode,5,None,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Information,1/31/2024 4:22:13 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:22:10 PM,Microsoft-Windows-Kernel-Power,172,(203),"Connectivity state in standby: Connected, Reason: None"
Information,1/31/2024 4:22:10 PM,Netwtw10,7023,None,7023 - secure boot debug logging Quasar
Information,1/31/2024 4:22:10 PM,Netwtw10,7017,None,7017 - secure boot (SB) configuration
Information,1/31/2024 4:22:10 PM,Netwtw10,7010,None,7010 - driver enabled (miniport init)
Information,1/31/2024 4:22:09 PM,Netwtw10,7002,None,7002 - CTDP power limit value (SPLC)
Information,1/31/2024 4:22:09 PM,Netwtw10,7005,None,7005 - SAR value max TX power (WRDS)
Information,1/31/2024 4:22:09 PM,Netwtw10,7027,None,7027 - get Nic Manufacturere on init
Information,1/31/2024 4:22:09 PM,Netwtw10,7036,None,The \Device\NDMP12 service entered the Intel(R) Wireless-AC 9560 160MHz state.
Information,1/31/2024 4:22:09 PM,Netwtw10,8000,None,8000 - Miniport Halt flow (driver disable)
Information,1/31/2024 4:22:09 PM,Microsoft-Windows-Kernel-Power,172,(203),"Connectivity state in standby: Disconnected, Reason: NIC compliance"
Warning,1/31/2024 4:22:06 PM,Microsoft-Windows-WLAN-AutoConfig,4003,None,"WLAN AutoConfig detected limited connectivity, attempting automatic recovery.

Recovery Type: 4
Error Code: 0x0
Trigger Reason: 5
IP Family: 0
"
Information,1/31/2024 4:22:03 PM,Microsoft-Windows-IsolatedUserMode,5,None,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Information,1/31/2024 4:22:03 PM,Microsoft-Windows-IsolatedUserMode,2,None,Secure Trustlet Id 0 and Pid 0 stopped with status STATUS_SUCCESS.
Information,1/31/2024 4:21:50 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:21:32 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:21:30 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:21:26 PM,Netwtw10,7023,None,7023 - secure boot debug logging Quasar
Information,1/31/2024 4:21:26 PM,Netwtw10,7011,None,7011 - radio ON
Information,1/31/2024 4:21:26 PM,Netwtw10,7012,None,7012 - radio OFF
Information,1/31/2024 4:20:28 PM,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,1/31/2024 4:19:53 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:19:47 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:19:47 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:19:47 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:19:46 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
